,VIDEOID,PUBLISHEDAT,TITLE,TAGS,VIEWCOUNT,LIKECOUNT,COMMENTCOUNT,CONTENTDETAILS,CATEGORYID,VIDEO_TIME,PUBLISHED_PERIOD,YEAR_MONTH,DAY_OF_WEEK_NAME,DAY_OF_WEEK_NUMBER,CATEGORY_TITLE
20,-Ad8dp7asEo,2024-07-11 10:39:33,WYPADEK NA A1. CO DALEJ Z PODEJRZANYM SEBASTIANEM M.?BEZRADNOŚĆ PRAWNA PAŃSTWA,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'wypadek a1', 'sebastian m', 'sebastian m wypadek a1', 'a1 katastrofa', 'zjednoczone emiraty arabskie', 'ucieczka z miejsca wypadku', 'sebastian m uciekł z miejsca wypadku', 'śmierć rodziny', 'dziecko nie żyje', 'spalone auto', 'wrzesień 2023 wypadek', 'rodzina spłonęła żywcem', 'spalone auto autostrada a1', 'prokuratura', 'ekstradycja', 'ekstradycja sebastin m']",371365,16817,4373,PT23M52S,22,23.87,Morning,2024-07,Thursday,3,People & Blogs
21,cryApxI6DRM,2024-06-28 15:56:08,STANOWSKI O MUZEUM W GDAŃSKU. NIE DO WIARY,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'muzem gdańsk', 'muzeum ii wojny światowej w gdańsku', 'muzeum ii wojny światowej', 'commentary', 'gdańsk', 'gdańsk muzeum', 'rotmistrz pilecki', 'rodzina ulmów', 'maksymilian kolbe', 'polityka', 'politycy', 'prawo i sprawiedliwość', 'paweł mach', 'Paweł Machcewicz', 'gazeta wyborcza', 'gazeta wyborcza stanowski', 'stanowski o muzeum w gdańsku', 'muzeum w gdańsku']",605943,53272,7111,PT20M1S,22,20.02,Afternoon,2024-06,Friday,4,People & Blogs
22,O1TCCHrDF7I,2024-04-20 18:00:16,"ZERO PRESJI #6: Twister ze STANOWSKIM, MAZURKIEM, RUCIŃSKIM I SIKORĄ","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'zero presji', 'kacper ruciński', 'ruciński', 'sikora', 'czarek sikora', 'stand up', 'mazurek', 'robert mazurek', 'mazurek kanal zero', 'mazurek zero presji', 'stanowski zero presji', 'sikora zero presji', 'ruciński zero presji', 'rucinki stanowski', 'sikora mazurek', 'komedia', 'sikora stand up', 'czarek sikora stand up', 'rucinski stand up', 'stanowski mazurek']",424048,13187,1129,PT1H35M10S,22,95.17,Evening,2024-04,Saturday,5,People & Blogs
23,s7YYk6aLmaI,2024-07-21 08:00:07,"TRZECIE ŚNIADANIE #25 - MELLER, WRÓBLEWSKI, DANIELEWSKI, LISICKI, WIŚNIEWSKA","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'marcin meller', 'agnieszka wiśniewska', 'tomasz wróblewski', 'paweł lisicki', 'michał danielewski', 'polityka', 'oko press', 'krytyka polityczna', 'Warsaw Enerprise Institute', 'do rzeczy', 'trzecie śniadanie', 'marcin meller kanał zero', 'kanał zero polityka', 'kanał zero wiśniewska', 'kanał zero wróblewski', 'pałac rozalin', 'kanał zero trzecie śniadanie']",72034,2263,898,PT1H48M27S,22,108.45,Morning,2024-07,Sunday,6,People & Blogs
24,8WYZ1NjeKdA,2024-03-11 14:00:05,MILITARNE ZERO #5: CZOŁGI - NIEZNISZCZALNE (PRAWIE) MASZYNY,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'wolski', 'wolski kanal zero', 'militarne zero', 'jarosław wolski', 'czołgi', 'czołg', '10 najpotężniejszych czołgów na świecie', 'najpotężniejsze czołgi na świecie', 'najlepsze czołgi na świecie', 'najdroższe czołgi na świecie', 'NATO czołgi', 'Abramsy dla Polski', 'czołg Abrams', 'czołg Armata', 'czołg Leopard', 'wojsko', 'militaria', 'rosjania', 'ukraina', 'pocisk', 'pancerz']",215920,12270,622,PT34M2S,22,34.03,Afternoon,2024-03,Monday,0,People & Blogs
25,tnuhJ8VJGHA,2024-07-22 18:00:07,GROUND ZERO #26: AMERYKAŃSKI IZOLACJONIZM. GOŚĆ PROF. CHARLES A. KUPCHAN,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'kanal', 'rajmund andrzejczak', 'gen. rajmund andrzejczak', 'geopolityka', 'wojsko', 'Sławomir dębski', 'dębski', 'ground zero', 'andrzejczak', 'andrzejczak kanał zero', 'ground zero kanal zero', 'polityka zagraniczna', 'ameryka', 'stany zjednoczone', 'demokracja', 'Charles A. Kupchan', 'charles kupchan kanał zero', 'kanał zero stany zjednoczone', 'amerykański izolacjonizm']",102253,3489,245,PT2H10M9S,22,130.15,Evening,2024-07,Monday,0,People & Blogs
26,DLIrJ3jSHY0,2024-07-20 07:12:01,COMARCH ZNIKA Z GIEŁDY PO 25 LATACH. CO DALEJ ZE SPÓŁKĄ I CRACOVIĄ | BIZNESOWE ZERO #15,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'biznesowe zero', 'andrzej borcz', 'borcz kanał zero', 'comarch', 'comarch erp optima', 'spółka comarch', 'cracovia', 'kraków', 'sukces', 'firma', 'biznes', 'rodzina filipiak', 'filipiak', 'zejście z giełdy', 'akcje', 'obligacje', 'cvc capital partners', 'cvc', 'optima', 'comarch optima']",70237,3180,187,PT31M5S,22,31.08,Morning,2024-07,Saturday,5,People & Blogs
27,zhwNRMmPLNI,2024-07-20 18:00:33,"ZERO PRESJI #19: RUCIŃSKI, SIKORA, KAŁAMAGA, KAMIŃSKA","['kanal zero', 'Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'kacper ruciński', 'czarek sikora', 'standup', 'stand-up', 'stand up ruciński', 'stand up sikora', 'kanał zero ruciński', 'kanał zero sikora', 'dobra zabawa', 'humor', 'kanał zero śmieszne', 'kanał zero humor', 'kanał zero presji', 'kanał zero zero presji', 'zero presji', 'julia kamińska', 'kanał zero julia kamińska', 'mariusz kałąmaga', 'kanał zero mariusz kałąmaga']",129460,3338,468,PT1H25M12S,22,85.2,Evening,2024-07,Saturday,5,People & Blogs
28,QK8x630c7nw,2024-02-20 14:02:07,BONUS Z MIAMI: NIEPUBLIKOWANY WYWIAD Z CAROLINE DERPIENSKI,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'celebryci', 'krzysztof stanowski', 'caroline derpieński', 'stanowski derpieński', 'dolarsowo', 'dolarsowa', 'Caroline Derpienski', 'Derpienski', 'królowa dolarsów', 'dajmondsy', 'derpienski', 'derpienski kanal zero', 'derpienski stanowski', 'miami', 'caroline derpienski wywiad', 'dzien z caroline', 'wywiad caroline derpienski', 'caroline kanal zero', 'caroline derpienski']",1154673,24229,5210,PT47M30S,22,47.5,Afternoon,2024-02,Tuesday,1,People & Blogs
29,NgU9Qu9jwjU,2024-05-22 15:01:00,COMMENTARY: STANOWSKI O TOMASZU LISIE,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'lis', 'tomasz lis', 'krzysztof stanowski', 'stan', 'dziennikarskie', 'tomasz', 'prokuratura', 'śledztwo', 'twitter', 'publicysta', 'oskarżenie', 'umorzenie', 'śledztwa', 'dziennikarz', 'tomasza lisa', 'łamanie praw', 'pracowniczych', 'prawa', 'czyn', 'redaktor naczelny', 'newsweek', 'nietykalność', 'kompromitacja', 'warszawa', 'triumf', 'sprawa', 'sąd', 'prawa pracownika', 'commentary', 'COMMENTARY', 'proces', 'wwa']",679207,31652,2824,PT16M52S,22,16.87,Afternoon,2024-05,Wednesday,2,People & Blogs
30,v4hSWh5iLas,2024-06-28 14:07:18,DEBATA JOE BIDEN VS DONALD TRUMP. CZY DEMOKRACI MUSZĄ SZUKAĆ NOWEGO KANDYDATA?,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'joanna pinkwart', 'usa', 'stany zjednoczone', 'trump', 'biden', 'trump biden', 'donald trump joe biden', 'debata', 'debata stany zjednoczone', 'ukraina', 'polska', 'prawybory stany zjednoczone', 'donald trump polska', 'kanał zero stany zjednoczone', 'kanał zero trump', 'kanał zero biden', 'kanał zero trump biden', 'kanał zero debata stany zjednoczone']",353881,12701,1566,PT16M5S,22,16.08,Afternoon,2024-06,Friday,4,People & Blogs
